date,pop, Annual % Change
2009,NULL,
2010,28208035,1.71
2011,28650959,1.57
2012,29068189,1.46
2013,29468923,1.38
2014,29866603,1.35
2015,30270962,1.35
2016,30684654,1.37
2017,31104646,1.37
2018,31528033,1.36
2019,31949777,1.34
2020,32365999,1.3
2021,NULL,
